b,  time,  L1-dcache-load-misses
1,  0.569167255,  332190567
2,  0.658609141,  199047492
3,  0.513785097,  228058949
4,  0.504312592,  189796574
5,  0.488669451,  180816811
6,  0.494209508,  159275980
7,  0.483356823,  156972380
8,  0.440994663,  115700729
9,  0.464182588,  150708040
10,  0.450876936,  147688295
11,  0.468634285,  148677843
12,  0.465618826,  136999404
13,  0.458037994,  146723805
14,  0.475269071,  143607418
15,  0.476902003,  145331430
16,  0.450678556,  124456234
17,  0.482135629,  150082756
18,  0.472936751,  152641668
19,  0.475525520,  158673731
20,  0.487975906,  161505200
21,  0.501977342,  179544656
22,  0.522974916,  199288770
23,  0.521884462,  208704234
24,  0.512583009,  209044863
25,  0.524383468,  229768297
26,  0.559333243,  253526632
27,  0.578385982,  253980668
28,  0.572148055,  262469047
29,  0.575865532,  277715285
30,  0.598188264,  284408004
31,  0.628715015,  297875604
32,  0.614205597,  296298376
33,  0.608784267,  313457876
34,  0.641496880,  333309810
35,  0.631127770,  353095732
36,  0.632308103,  356435015
37,  0.637686991,  363110422
38,  0.633159578,  368078691
39,  0.662606387,  376737222
40,  0.658382380,  381027406
41,  0.637764683,  381799990
42,  0.685710888,  393157872
43,  0.660759022,  389614966
44,  0.671590633,  390737319
45,  0.667871251,  389116352
46,  0.674982306,  388448867
47,  0.666445871,  388358898
48,  0.661268868,  386037570
49,  0.679726269,  388576606
50,  0.670183354,  388239663
51,  0.695540754,  389601958
52,  0.674581543,  387535087
53,  0.698969449,  392128479
54,  0.716909080,  391710487
55,  0.787282097,  397799161
56,  0.716699644,  390750378
57,  0.736882744,  393062677
58,  0.752904638,  392506910
59,  0.741060810,  391877742
60,  0.719829943,  390930032
61,  0.766004992,  392236108
62,  0.720294599,  390061938
63,  0.795084614,  397745327
64,  0.731858651,  387767677
65,  0.725966938,  388702575
66,  0.716360298,  388849713
67,  0.752037624,  392367973
68,  0.769819727,  398501128
69,  0.741564799,  389278414
70,  0.735825913,  389019412
71,  0.722899893,  388825207
72,  0.726702879,  388002527
73,  0.714726948,  389152607
74,  0.741646968,  390750705
75,  0.770928581,  402816945
76,  0.716819938,  390356039
77,  0.737737399,  397605336
78,  0.729275796,  390212902
79,  0.727141912,  390027820
80,  0.714348072,  390235957
81,  0.719742113,  387316988
82,  0.690927391,  387926825
83,  0.715562742,  388826197
84,  0.728288541,  394911494
