b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.360932127,  451729732,  42375109
2,  2.025415325,  288345058,  42386184
3,  1.784571447,  317623781,  42551233
4,  1.750555266,  268306801,  42379730
5,  1.706782404,  265229363,  42700581
6,  1.719958148,  244873847,  42531479
7,  1.692044900,  236655253,  42536646
8,  1.701138247,  235553102,  42535755
9,  1.632820045,  219467345,  42488864
10,  1.613367027,  210431420,  42430109
11,  1.622116606,  208104000,  42496600
12,  1.610828040,  197300835,  42405500
13,  1.606146255,  201094494,  42510054
14,  1.573368105,  196439900,  42541892
15,  1.584862088,  195814553,  42531719
16,  1.576504692,  195672968,  42443640
17,  1.633098765,  186023634,  42526706
18,  1.537063265,  187147173,  42479226
19,  1.632196519,  181832144,  42485851
20,  1.533060776,  181925846,  42466540
21,  1.656042262,  180343734,  42464037
22,  1.535849006,  182953780,  42496533
23,  1.669229508,  179025787,  42500854
24,  1.550210529,  184531785,  42507237
25,  1.630241011,  184308608,  48013784
26,  1.635602765,  175724748,  42535631
27,  1.622976245,  183091765,  47872643
28,  1.571511545,  172194176,  42577192
29,  1.621873687,  182884227,  47590119
30,  1.626031906,  175517249,  42653453
31,  1.645278727,  183221616,  47704089
32,  1.577422991,  166078757,  42565801
33,  1.619745613,  180137963,  46981182
34,  1.636968550,  176129207,  42873562
35,  1.625449266,  181582843,  47088814
36,  1.583059935,  174509661,  42945283
37,  1.622754377,  184997577,  47103730
38,  1.627953845,  178784415,  43206259
39,  1.635255660,  187842147,  47340960
40,  1.612192162,  188335431,  50042621
41,  1.624146482,  186889888,  49859173
42,  1.646047007,  184046080,  43759123
43,  1.643088600,  189664674,  50305316
44,  1.599683381,  182861423,  43978356
45,  1.648849566,  192718369,  50674420
46,  1.644670350,  186513314,  44822536
47,  1.658346710,  193472436,  51212615
48,  1.603254653,  190881115,  45799741
49,  1.646068396,  188943085,  53314355
50,  1.653533653,  185915968,  45734454
51,  1.658852929,  189675586,  53602208
52,  1.609971347,  182486911,  45596453
53,  1.664020628,  191285497,  53778855
54,  1.661058774,  184531474,  46630698
