iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  9,  3.152922248,  4697352258,  174777624
2,  1,  9,  2.553292270,  4672761771,  171718654
3,  1,  9,  2.554152512,  4671451975,  173528888
4,  1,  9,  2.753791109,  4671351030,  175119308
5,  1,  9,  2.553294789,  4673832249,  169591088
6,  1,  9,  2.554034289,  4675819289,  170083558
7,  1,  9,  2.553827290,  4671367432,  171553305
8,  1,  9,  2.554285525,  4674156216,  170742780
9,  1,  9,  2.553926589,  4673529670,  174011717
10,  1,  9,  2.553551623,  4672555302,  173745320
