iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  11,  47.167715086,  3697115324,  909538459
2,  fast,  11,  49.372184243,  3662965096,  880783271
3,  fast,  11,  50.771389461,  3613491178,  903414697
4,  fast,  11,  49.374631141,  3695461238,  785424287
5,  fast,  11,  48.172301074,  3638158094,  834338909
6,  fast,  11,  51.574012736,  3675312872,  833033123
7,  fast,  11,  48.772366301,  3706448611,  848071186
8,  fast,  11,  49.570731364,  3714447352,  902885022
9,  fast,  11,  47.170733272,  3690313944,  846951207
10,  fast,  11,  49.173445664,  3643467972,  861420261
