iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  17,  25.962718446,  2344121316,  534309874
2,  fast1000,  17,  26.162870803,  2315144841,  567773059
3,  fast1000,  17,  25.764897628,  2323631852,  500554182
4,  fast1000,  17,  24.563724220,  2321100366,  539038588
5,  fast1000,  17,  25.564901351,  2308376762,  548325782
6,  fast1000,  17,  25.565020616,  2368501665,  528178050
7,  fast1000,  17,  25.364524971,  2334282861,  436346314
8,  fast1000,  17,  22.563517428,  2309809693,  398198557
9,  fast1000,  17,  25.363706164,  2321633864,  565215629
10,  fast1000,  17,  26.562755439,  2307118786,  602418458
