iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  12,  33.046014755,  5235158307,  437784358
2,  2,  12,  32.643853738,  5224404509,  441843959
3,  2,  12,  32.843052289,  5264311611,  439338548
4,  2,  12,  32.844844874,  5183817520,  437123766
5,  2,  12,  33.040290390,  5209520603,  438189085
6,  2,  12,  32.846282726,  5191175690,  439690454
7,  2,  12,  32.844746123,  5198566349,  436242414
8,  2,  12,  32.645078307,  5227772221,  443006927
9,  2,  12,  32.844990411,  5193730788,  440994466
10,  2,  12,  32.644406643,  5218191234,  436614519
