matrix_size_list , ave_total_time_list , ave_compu_time_list , ave_commu_time_list
             800 ,               0.006 ,               0.001 ,               0.005
             880 ,              0.0066 ,               0.001 ,              0.0054
             960 ,               0.007 ,               0.001 ,               0.006
            1040 ,              0.0073 ,               0.002 ,               0.006
            1120 ,              0.0081 ,               0.002 ,              0.0061
            1200 ,               0.009 ,              0.0027 ,               0.006
            1280 ,              0.0094 ,               0.003 ,              0.0064
            1360 ,              0.0103 ,               0.004 ,              0.0067
            1440 ,              0.0113 ,               0.004 ,              0.0072
            1520 ,              0.0124 ,              0.0052 ,              0.0071
            1600 ,              0.0136 ,              0.0061 ,              0.0075
            1680 ,              0.0152 ,              0.0073 ,              0.0081
            1760 ,              0.0166 ,              0.0081 ,              0.0083
            1840 ,              0.0181 ,              0.0093 ,              0.0086
            1920 ,              0.0192 ,              0.0101 ,              0.0089
            2000 ,              0.0219 ,              0.0122 ,              0.0098
            2080 ,              0.0229 ,              0.0131 ,              0.0099
            2160 ,              0.0247 ,              0.0147 ,                0.01
            2240 ,              0.0272 ,              0.0164 ,              0.0108
            2320 ,              0.0296 ,              0.0182 ,              0.0113
            2400 ,              0.0331 ,               0.021 ,              0.0121
            2480 ,              0.0381 ,              0.0235 ,              0.0146
            2560 ,              0.0437 ,              0.0259 ,              0.0179
            2640 ,              0.0493 ,               0.029 ,              0.0204
            2720 ,              0.0609 ,              0.0337 ,              0.0275
            2800 ,              0.0708 ,              0.0383 ,              0.0325
            2880 ,               0.084 ,              0.0444 ,              0.0397
            2960 ,              0.0978 ,               0.053 ,              0.0449
            3040 ,              0.1106 ,              0.0622 ,              0.0484
            3120 ,              0.1293 ,               0.074 ,              0.0554
            3200 ,              0.1442 ,              0.0721 ,               0.072
