b,  time,  L1-dcache-load-misses,  LLC-load-misses
1,  2.380336692,  451662290,  42350220
2,  2.020773680,  288298665,  42352230
3,  1.781625755,  317536638,  42527086
4,  1.748579838,  268302935,  42353629
5,  1.704066751,  265204746,  42673835
6,  1.715563810,  244802569,  42501728
7,  1.637348459,  236643649,  42516005
8,  1.695557058,  235515174,  42507201
9,  1.628750310,  219355253,  42461123
10,  1.608569247,  210331468,  42401344
11,  1.620974053,  208047211,  42466493
12,  1.609785556,  197231434,  42383572
13,  1.600548775,  201030691,  42485687
14,  1.585745426,  196356668,  42514707
15,  1.584474790,  195755940,  42508907
16,  1.557873253,  195580666,  42417813
17,  1.627118755,  185941007,  42505924
18,  1.532598437,  187110032,  42456532
19,  1.627695510,  181749387,  42461046
20,  1.527975083,  181861683,  42443778
21,  1.653230716,  180290661,  42442930
22,  1.531872530,  182935897,  42478117
23,  1.667088461,  178986709,  42483025
24,  1.544686047,  184503492,  42491799
25,  1.622215802,  184259063,  47997777
26,  1.632584317,  175660388,  42517392
27,  1.617049096,  183061761,  47861095
28,  1.574480663,  172126901,  42560616
29,  1.615529861,  182830327,  47583977
30,  1.615479498,  175444284,  42661298
31,  1.638648603,  183227076,  47703499
32,  1.570789990,  166003633,  42558062
33,  1.612716465,  180067037,  46975288
34,  1.633262753,  176061315,  42886196
35,  1.615910370,  181579244,  47073890
36,  1.577520679,  174432517,  42967300
37,  1.618187089,  184971863,  47086969
38,  1.622389094,  178742973,  43224358
39,  1.624310962,  187726034,  47327540
40,  1.603280038,  188269570,  50062823
41,  1.616979334,  186857698,  49847672
42,  1.641805861,  183959315,  43769157
43,  1.637608637,  189621937,  50273131
44,  1.592606162,  182774688,  43943573
45,  1.640754875,  192606133,  50663007
46,  1.644674900,  186461010,  44807939
47,  1.652235029,  193373476,  51178778
48,  1.597211147,  190804311,  45776287
49,  1.638003215,  188879333,  53319469
50,  1.645077950,  185836765,  45678109
51,  1.653586092,  189605666,  53580911
52,  1.605787763,  182411131,  45537257
53,  1.660062690,  191206127,  53754594
54,  1.655692189,  184478691,  46612628
55,  1.664918089,  191335641,  53753901
56,  1.626922264,  178756072,  55965690
57,  1.665602610,  189118369,  59185711
58,  1.658164478,  183186102,  47410666
59,  1.674107199,  189863816,  59880463
60,  1.614609369,  180077163,  47432755
61,  1.680522173,  191167208,  60130529
62,  1.672257370,  181973840,  48618119
63,  1.687442234,  191609432,  60050371
64,  1.592818220,  175142197,  46366823
65,  1.678277324,  187619535,  61108355
66,  1.667473891,  185342749,  60329957
67,  1.682512025,  188280535,  61279799
68,  1.658760163,  182994516,  59152092
69,  1.682377499,  189273174,  60921194
70,  1.667561561,  184603563,  60172067
71,  1.687036997,  189910103,  61073508
72,  1.668934878,  186096577,  60641291
73,  1.673382071,  185247685,  60208211
74,  1.662609560,  183533871,  59630601
75,  1.680191902,  185951600,  60158844
76,  1.654882980,  181487910,  58445676
77,  1.681765288,  187164777,  60215373
78,  1.667149752,  182967733,  59832072
79,  1.687036267,  187731979,  60323862
80,  1.682649144,  185304532,  61830115
81,  1.688062699,  184510115,  61305057
82,  1.678018412,  183031581,  60786568
83,  1.689255462,  185233747,  61224079
84,  1.664470738,  181204463,  59624636
85,  1.692161983,  186458616,  61231904
86,  1.677943825,  182549293,  60913713
87,  1.697273108,  186921071,  61177804
88,  1.690183561,  185195144,  63867274
89,  1.698846463,  184621054,  63353351
90,  1.679287789,  183163664,  62848394
91,  1.700255463,  185312487,  63331340
92,  1.671163558,  181575729,  61879095
93,  1.704600984,  186418271,  63555159
94,  1.689685951,  182788231,  63052895
95,  1.711893296,  186833545,  63669314
96,  1.706051333,  184884196,  64845332
97,  1.709993287,  184268516,  64370142
98,  1.700324922,  183052218,  63941025
99,  1.710321944,  184951035,  64323945
100,  1.687780160,  181805309,  63046891
101,  1.709712733,  186094056,  64186046
102,  1.709129210,  182946358,  64943465
103,  1.714135869,  186328315,  64045124
104,  1.709724891,  185154919,  66043870
105,  1.711288812,  184236250,  65538502
106,  1.702736420,  183269941,  65103271
107,  1.711234604,  184772839,  65405814
108,  1.683592748,  181960213,  64163169
109,  1.703011120,  185828186,  65086861
110,  1.701549544,  182932074,  65099882
111,  1.709221094,  186221628,  65019972
112,  1.685240050,  180141231,  64615533
113,  1.715341821,  185360923,  67704217
114,  1.709569700,  184125352,  67111015
115,  1.713234923,  185912996,  67502376
116,  1.697946978,  182883812,  66365709
117,  1.711637120,  186889185,  67280072
118,  1.704483766,  183984905,  67240509
119,  1.716875324,  187508543,  67472414
120,  1.712358995,  185406980,  68725970
121,  1.713579804,  185459311,  68416818
122,  1.707528179,  184263908,  68057209
123,  1.712101641,  186076485,  68479185
124,  1.699473683,  183154465,  67473443
125,  1.711003517,  187025722,  68166589
126,  1.705221280,  184264754,  67929738
127,  1.713426476,  187545031,  67978780
128,  1.709538319,  180440669,  65474244
129,  1.709000786,  184961970,  67654158
130,  1.703734461,  183955429,  67277746
131,  1.704913611,  185754378,  67088601
132,  1.697295782,  183212098,  66658140
133,  1.707677510,  186910804,  67088784
134,  1.701625499,  184359544,  67337579
135,  1.709082229,  187614050,  67032657
136,  1.688109709,  182278293,  66167917
137,  1.709616936,  186431411,  68146667
138,  1.703908624,  185563261,  67814459
139,  1.708173461,  187309193,  67885674
140,  1.698158942,  184911575,  67161087
141,  1.708697315,  188862694,  67690030
142,  1.702372152,  186182323,  67668080
143,  1.709683868,  189623950,  67638124
144,  1.707168976,  187683879,  68634870
145,  1.709565415,  187795765,  68368207
146,  1.706641926,  187015422,  68250677
147,  1.706753678,  189089817,  68274676
148,  1.698162931,  186564546,  67549309
149,  1.706175462,  189943233,  68168373
150,  1.702145166,  187708542,  68293606
151,  1.710458834,  190829865,  68450755
152,  1.707698849,  189161437,  69304056
153,  1.709496584,  189552900,  69012856
154,  1.711922509,  189992046,  68855066
155,  1.707850047,  190549216,  69189278
156,  1.699406559,  188346346,  68385618
157,  1.709254888,  192410819,  69199322
158,  1.710764305,  191006788,  69138489
159,  1.706804418,  192984840,  69325346
160,  1.690514983,  187676963,  68089988
161,  1.710179216,  191932324,  70248752
162,  1.707672567,  191189577,  70094645
163,  1.709413137,  194074072,  70332619
164,  1.700580950,  191559913,  69595376
165,  1.708207244,  195596399,  70441893
166,  1.704137227,  193319180,  70151920
167,  1.711188574,  197077099,  70437001
168,  1.708128105,  195201406,  70925867
169,  1.711179818,  196743501,  70558759
170,  1.708421169,  195848186,  70399997
171,  1.709550776,  197845378,  70631933
172,  1.702999457,  196123309,  69897972
173,  1.706693497,  199444014,  70775219
174,  1.707332870,  198044017,  70504435
175,  1.708306537,  201111239,  70908101
176,  1.707952488,  199488299,  71475479
177,  1.709652573,  200054536,  71146296
178,  1.707748351,  199570120,  71116201
179,  1.707724667,  201206276,  71235444
180,  1.702647861,  200182169,  70743810
181,  1.704872423,  202459123,  71327274
182,  1.703845673,  201475572,  71147207
183,  1.708034177,  203823254,  71503931
184,  1.695005507,  200736078,  70167722
185,  1.708312914,  203882465,  71929345
186,  1.714784509,  206168021,  72018467
187,  1.707769992,  205340868,  72045388
188,  1.703861077,  203701244,  71373300
189,  1.704840852,  206718716,  72137275
190,  1.704346159,  205279976,  71964306
191,  1.707797392,  208161682,  72296242
192,  1.694273392,  204159756,  70888906
193,  1.707621032,  207727684,  72518940
194,  1.713538524,  210896832,  72557410
195,  1.706656389,  210292604,  72530264
196,  1.704177562,  209070243,  71933015
197,  1.705746771,  212842599,  72542936
198,  1.704199989,  211667871,  72465338
199,  1.707308248,  215552653,  72611217
200,  1.703940534,  213938141,  73198118
201,  1.707063636,  216030471,  72837324
202,  1.707970590,  215744648,  72837878
203,  1.708717835,  218799243,  72762642
204,  1.711169978,  221539062,  72813560
205,  1.707064717,  221710394,  72955766
206,  1.705689269,  220269500,  72726999
207,  1.707913553,  225286751,  73053297
208,  1.695166280,  220249566,  71965116
209,  1.709211137,  224982274,  73687839
210,  1.707945628,  224442339,  73307300
211,  1.709943547,  228296972,  73580669
212,  1.706197001,  226541454,  72991397
213,  1.710181040,  231380193,  73488341
214,  1.707418276,  228954140,  73547073
215,  1.713084818,  234825999,  73670895
216,  1.699684158,  229623688,  72333700
217,  1.709766695,  234022983,  73921281
218,  1.707001921,  233364929,  73547465
219,  1.709699724,  237006726,  73947612
220,  1.707337589,  235193430,  73305260
221,  1.710774499,  239895112,  73882182
222,  1.709788063,  237954831,  73797206
223,  1.711391532,  243068706,  73925822
224,  1.699163444,  237562681,  72458240
225,  1.708996518,  243127453,  73956732
226,  1.711141110,  247851302,  73751059
227,  1.711652884,  248390328,  73816817
228,  1.709848733,  247300174,  73313618
229,  1.713742219,  253561146,  73704926
230,  1.711264708,  251792407,  73603286
231,  1.717588384,  259788085,  73771796
232,  1.703745507,  255294090,  72347264
233,  1.711339326,  261112859,  73312727
234,  1.717200976,  266567228,  73621822
235,  1.715663348,  267208493,  73582885
236,  1.721275064,  270830245,  73122682
237,  1.718892354,  274010674,  73581460
238,  1.718108597,  272179491,  73402239
239,  1.721435756,  280024791,  73331867
240,  1.719213321,  277966928,  73840839
241,  1.724029774,  281616542,  73542985
242,  1.720554457,  283406340,  73263561
243,  1.723348051,  288550625,  73455369
244,  1.719092609,  288351868,  72909411
245,  1.726116075,  293921404,  73150849
246,  1.726938470,  294429814,  73239887
247,  1.732060806,  300149470,  73119482
248,  1.718753649,  297043006,  72059422
249,  1.726062228,  302886075,  73161783
250,  1.727578388,  304300173,  73095455
251,  1.730635693,  308503753,  73132669
252,  1.727308156,  308723565,  72558318
253,  1.731437003,  314903997,  73087415
254,  1.731394024,  315057136,  72987522
255,  1.736383130,  320283561,  72750910
256,  1.725611703,  316932970,  71852126
257,  1.738900083,  325118569,  73146322
258,  1.737368732,  327286462,  72846019
259,  1.743744343,  334072490,  72768612
260,  1.728615064,  336370093,  72353743
261,  1.720625194,  344417943,  72712580
262,  1.739399192,  344119344,  72559152
263,  1.743442736,  352537203,  72392750
264,  1.738891129,  352210550,  71582660
265,  1.753574963,  360189015,  72540676
266,  1.756443237,  364646029,  72379352
267,  1.757035442,  369382621,  72152901
268,  1.756615746,  372035500,  71907154
269,  1.761130466,  379622929,  72190416
270,  1.762698474,  380769034,  72078580
271,  1.766942738,  388769836,  71835589
272,  1.757927205,  389746833,  71193795
273,  1.771769284,  397248944,  72102674
274,  1.766770189,  398878518,  71889431
275,  1.770656794,  405654368,  71737160
276,  1.770597441,  408632459,  71355291
277,  1.776501678,  415666525,  71692907
278,  1.777176938,  415498685,  71574074
279,  1.779003288,  421725051,  71256918
280,  1.771725379,  423617484,  70286384
281,  1.783134494,  430241078,  71187902
282,  1.783939466,  432891395,  71091732
283,  1.786117499,  436255535,  70863572
284,  1.781099432,  439334006,  70224165
285,  1.789100416,  445467326,  70569885
286,  1.788361969,  447889994,  70610350
287,  1.791755742,  451320931,  70366744
288,  1.786424158,  452513314,  69529220
289,  1.793119819,  454679248,  70294200
290,  1.794756050,  455273066,  70305227
291,  1.792416663,  454988998,  70402808
292,  1.790165860,  453582948,  70083400
293,  1.795409648,  455465284,  70144956
294,  1.796820603,  456204736,  70377030
295,  1.795403209,  457581609,  70232923
296,  1.785508426,  453858567,  69755860
297,  1.794970456,  454712326,  70391809
298,  1.796595103,  455696244,  70275275
299,  1.795368948,  456495775,  70300091
300,  1.788380859,  456808679,  70092965
