iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  0,  0,  10.103582909,  4618347679,  153900679
2,  0,  0,  10.102210602,  4618254175,  153902035
3,  0,  0,  10.104325784,  4618256062,  153897179
4,  0,  0,  10.101603547,  4618397426,  153898496
5,  0,  0,  10.099747168,  4618407265,  153893197
6,  0,  0,  10.102004666,  4618265014,  153900892
7,  0,  0,  10.100306377,  4618341553,  153894382
8,  0,  0,  10.099827563,  4618302584,  153898758
9,  0,  0,  10.104677433,  4618350737,  153898597
10,  0,  0,  10.099852157,  4618433169,  153899747
