iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  17,  63.975636918,  5567727975,  1263228939
2,  fast,  17,  61.175648883,  5436494716,  1078285128
3,  fast,  17,  60.774068174,  5507807605,  1111209872
4,  fast,  17,  66.377483996,  5442072559,  1374672549
5,  fast,  17,  62.974268265,  5547815528,  1213142786
6,  fast,  17,  60.974186759,  5456859904,  1072866045
7,  fast,  17,  61.174016515,  5567366377,  1205448653
8,  fast,  17,  62.177425913,  5554458614,  1265763458
9,  fast,  17,  59.574478029,  5481807408,  1140405525
10,  fast,  17,  60.974468663,  5511747388,  1152099337
