iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  18,  18.760566940,  1703415168,  464289251
2,  fast1500,  18,  19.162656424,  1688713539,  443872154
3,  fast1500,  18,  17.960864770,  1681583290,  419474315
4,  fast1500,  18,  18.360542774,  1650134730,  439830303
5,  fast1500,  18,  17.158537331,  1687225492,  436852571
6,  fast1500,  18,  19.160904319,  1711382266,  459214522
7,  fast1500,  18,  18.761131104,  1684687552,  496651626
8,  fast1500,  18,  17.960096121,  1685121392,  437144840
9,  fast1500,  18,  19.361301516,  1631569987,  373853472
10,  fast1500,  18,  18.561783957,  1698700173,  388224469
