iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  2,  20,  23.238531639,  5745954956,  513261546
2,  2,  20,  23.437196189,  5745797171,  512409037
3,  2,  20,  23.838193722,  5735409700,  510332808
4,  2,  20,  23.238674150,  5747882944,  512949716
5,  2,  20,  29.039049015,  5590136968,  488864936
6,  2,  20,  23.437856714,  5740038156,  511382352
7,  2,  20,  23.237823531,  5747704516,  513420377
8,  2,  20,  23.238080220,  5740123312,  509927818
9,  2,  20,  23.637659553,  5735376362,  511638809
10,  2,  20,  23.838697461,  5728546991,  508968226
